Date,Open,High,Low,Close,Adj Close,Volume
2019-11-11,55.590000,55.869999,55.427502,55.555000,54.396820,6142800
2019-11-12,55.547501,56.000000,55.522499,55.805000,54.641605,5798400
2019-11-13,56.224998,57.044998,56.224998,56.977501,55.789661,7189200
2019-11-14,57.000000,57.529999,56.902500,57.467499,56.269444,6329600
2019-11-15,57.605000,57.884998,57.087502,57.855000,56.648865,7382400
2019-11-18,57.994999,58.610001,57.937500,58.040001,56.830009,7002400
2019-11-19,58.022499,58.584999,57.782501,58.165001,56.952408,6522400
2019-11-20,58.334999,59.189999,58.180000,58.805000,57.579060,8506000
2019-11-21,58.932499,59.067501,58.527500,58.785000,57.559479,4990000
2019-11-22,58.855000,59.042500,57.930000,58.345001,57.128654,5016000
2019-11-25,58.467499,58.639999,57.939999,58.139999,56.927925,7456400
2019-11-26,58.292500,58.810001,58.250000,58.730000,57.505627,15634000
2019-11-27,58.332500,58.447498,58.139999,58.267502,57.357971,8584000
2019-11-29,58.652500,58.932499,58.307499,58.455002,57.542542,3557600
2019-12-02,58.427502,58.427502,57.767502,57.812500,56.910069,7118000
2019-12-03,58.000000,58.205002,57.847500,58.057499,57.151245,9249200
2019-12-04,57.912498,58.617500,57.875000,58.564999,57.650822,6699200
2019-12-05,58.279999,58.697498,58.257500,58.639999,57.724655,6413200
2019-12-06,58.602501,58.857498,58.377499,58.597500,57.682819,6196000
2019-12-09,58.735001,58.742500,58.459999,58.567501,57.653286,4560000
2019-12-10,58.590000,58.737499,58.452499,58.612499,57.697582,4345600
2019-12-11,58.750000,58.965000,58.485001,58.945000,58.024891,6212800
2019-12-12,58.880001,59.047501,58.192501,58.474998,57.562229,6970400
2019-12-13,58.270000,59.345001,58.192501,59.237499,58.312828,8345200
2019-12-16,59.310001,59.875000,59.099998,59.867500,58.932995,14284800
2019-12-17,59.865002,60.224998,59.705002,59.955002,59.019131,10374000
2019-12-18,60.182499,60.250000,59.685001,60.072498,59.134792,8585600
2019-12-19,60.037498,60.255001,59.857498,60.162498,59.223385,6882800
2019-12-20,61.020000,61.252499,60.052502,60.677502,59.730350,16198000
2019-12-23,60.695000,60.740002,59.584999,59.695000,58.763184,9474800
2019-12-24,59.727501,60.127499,59.459999,60.127499,59.188931,2739600
2019-12-26,60.062500,60.490002,60.020000,60.490002,59.545776,5813200
2019-12-27,60.570000,60.692501,60.382500,60.627499,59.681129,4319200
2019-12-30,60.422501,60.555000,60.072498,60.322498,59.380890,4450000
2019-12-31,60.392502,60.647499,59.980000,60.540001,59.594994,6910000
2020-01-02,60.492500,60.919998,59.487499,59.654999,58.723812,7884800
2020-01-03,59.657501,60.340000,59.535000,60.080002,59.142174,7097200
2020-01-06,60.174999,60.650002,60.105000,60.380001,59.437496,5518800
2020-01-07,60.172501,60.552502,60.042500,60.327499,59.385815,6653200
2020-01-08,60.417500,60.737499,60.250000,60.299999,59.358742,5936000
2020-01-09,60.162498,60.955002,60.132500,60.772499,59.823868,6958000
2020-01-10,60.955002,61.174999,60.797501,60.887501,59.937073,5125600
2020-01-13,60.762501,61.707500,60.762501,61.599998,60.638447,5879600
2020-01-14,61.557499,61.950001,61.450001,61.932499,60.965759,8252800
2020-01-15,62.145000,63.047501,62.137501,62.895000,61.913239,6397200
2020-01-16,62.720001,63.077499,62.584999,63.067501,62.083046,7914400
2020-01-17,63.092499,63.437500,62.852501,63.349998,62.361130,9354000
2020-01-21,63.507500,64.324997,63.202499,64.222504,63.220016,11486400
2020-01-22,64.737503,65.195000,64.415001,64.974998,63.960766,7065600
2020-01-23,64.839996,65.687500,64.839996,65.019997,64.005066,10212400
2020-01-24,64.257500,66.019997,64.042503,65.930000,64.900864,10310400
2020-01-27,65.654999,66.940002,65.572502,66.684998,65.644073,8678800
2020-01-28,66.684998,67.250000,65.927498,66.452499,65.415199,8262800
2020-01-29,66.687500,66.702499,66.029999,66.440002,65.402901,6008400
2020-01-30,66.467499,67.562500,66.254997,67.482498,66.429131,6328800
2020-01-31,67.364998,67.665001,66.682503,67.050003,66.003380,7536800
2020-02-03,67.172501,67.370003,66.552498,66.702499,65.661301,11041200
2020-02-04,66.567497,66.827499,65.980003,66.135002,65.102661,10482800
2020-02-05,66.072502,66.915001,65.552498,66.677498,65.636688,8666800
2020-02-06,66.687500,67.582497,66.589996,67.082497,66.035362,7874400
2020-02-07,67.377502,67.912498,67.297501,67.385002,66.333145,6410000
2020-02-10,67.577499,67.952499,67.332497,67.934998,66.874557,7666800
2020-02-11,68.190002,68.497498,67.987503,68.037498,66.975464,7850800
2020-02-12,67.857498,68.067497,67.529999,67.565002,66.510345,5836400
2020-02-13,67.565002,68.967499,67.565002,68.867500,67.792503,7500400
2020-02-14,68.922501,69.769997,68.885002,69.629997,68.543106,7354800
2020-02-18,70.000000,70.837502,69.592499,70.510002,69.409378,9789600
2020-02-19,68.754997,69.279999,68.637497,68.667503,67.595634,21134800
2020-02-20,68.985001,69.285004,68.327499,69.257500,68.176422,10731600
2020-02-21,69.382500,69.690002,69.017502,69.397499,68.314232,11030800
2020-02-24,68.699997,69.652496,68.482498,68.485001,67.415977,9091600
2020-02-25,68.485001,68.974998,67.449997,67.582497,66.527557,10285600
2020-02-26,67.232498,68.324997,67.000000,67.367500,66.315926,9551600
2020-02-27,67.010002,67.732498,63.902500,63.962502,63.292904,14604000
2020-02-28,62.037498,63.477501,60.770000,63.189999,62.528488,27474800
2020-03-02,63.412498,67.224998,63.082500,67.087502,66.385193,19305600
2020-03-03,67.272499,68.574997,65.722504,66.287498,65.593559,15636000
2020-03-04,67.300003,70.642502,67.300003,70.555000,69.816391,14713200
2020-03-05,69.262497,69.964996,68.110001,69.040001,68.317253,12412000
2020-03-06,67.139999,68.227501,65.425003,67.955002,67.243607,14556400
2020-03-09,63.615002,66.580002,63.615002,65.320000,64.636192,15564400
2020-03-10,66.407501,66.830002,60.577499,63.932499,63.263218,23743600
2020-03-11,62.299999,62.305000,59.639999,60.314999,59.683586,19631200
2020-03-12,54.032501,57.915001,51.512501,52.222500,51.675804,31668400
2020-03-13,55.012501,55.497501,49.090000,55.389999,54.810146,31586400
2020-03-16,49.500000,55.165001,49.185001,50.342499,49.815483,20240400
2020-03-17,51.365002,56.867500,51.000000,55.439999,54.859619,21538000
2020-03-18,52.264999,56.997501,49.939999,52.660000,52.108723,22198000
2020-03-19,52.502499,55.407501,50.134998,51.775002,51.232990,17441200
2020-03-20,51.437500,52.474998,46.715000,47.937500,47.435661,22482400
2020-03-23,46.667500,47.142502,43.700001,45.415001,44.939568,23661600
2020-03-24,46.962502,52.119999,46.622501,51.632500,51.091980,17900800
2020-03-25,51.419998,55.062500,48.767502,52.567501,52.017197,17794400
2020-03-26,52.724998,58.542500,52.650002,57.775002,57.170177,14655200
2020-03-27,56.369999,60.080002,55.847500,57.987499,57.380451,16184400
2020-03-30,59.327499,62.057499,58.590000,61.502499,60.858654,16373600
2020-03-31,60.527500,61.974998,59.790001,60.154999,59.525261,18899200
2020-04-01,57.740002,57.997501,53.259998,54.557499,53.986359,13691200
2020-04-02,53.750000,57.384998,53.535000,56.612499,56.019848,9234400
2020-04-03,55.990002,57.142502,54.384998,55.410000,54.829933,8755600
2020-04-06,57.697498,59.259998,57.005001,58.627499,58.013752,13267600
2020-04-07,60.087502,60.247501,57.040001,57.122501,56.524509,10507200
2020-04-08,57.407501,59.047501,56.009998,58.375000,57.763897,18290800
2020-04-09,58.959999,62.717499,58.845001,61.320000,60.678066,19587600
2020-04-13,60.639999,60.967499,58.595001,59.052502,58.434303,10757200
2020-04-14,60.462502,61.244999,59.592499,60.595001,59.960655,11673200
2020-04-15,60.009998,60.347500,58.882500,59.305000,58.684162,9990800
2020-04-16,59.994999,60.197498,58.919998,59.369999,58.748478,10331200
